5.7210 	EXP 	KidFlanker: status = NOT_STARTED
5.7237 	INFO 	Loaded monitor calibration from ['2024_10_21 13:15']
5.7261 	INFO 	Loaded monitor calibration from ['2024_10_21 13:15']
5.7305 	WARNING 	Requested an unavailable screen number - using first available.
5.7360 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
6.5191 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021E85339D60>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021E85339D00>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021E85339B50>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021E8553F1C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.5191 	EXP 	window1: backgroundImage = None
6.5192 	EXP 	window1: backgroundFit = 'cover'
6.5193 	EXP 	window1: mouseVisible = False
6.5223 	EXP 	Preloaded image images/rrlrr.png
6.5234 	EXP 	Preloaded image images/llrll.png
6.5245 	EXP 	Preloaded image images/lllll.png
6.5253 	EXP 	Preloaded image images/rrrrr.png
6.5259 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
6.8466 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
6.8479 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
6.8492 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
6.8500 	EXP 	window1: mouseVisible = False
6.8537 	EXP 	Created trial_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='trial_image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
6.8537 	EXP 	window1: mouseVisible = False
